00FR               20251118                                                                                   
0601FRA0N       20260101002600100000005000 0000000000002730   
0601FRA0N       20260101002605100000005000 0000000000002731   
0601FRA0N       20260101002610100000005000 0000000000002732   
0601FRA0N       20260101002615100000005000 0000000000002734   
0601FRA0N       20260101002620100000005000 0000000000002735   
0601FRA0N       20260101002625100000005000 0000000000002735   
0601FRA0N       20260101002630100000005000 0000000000002737   
0601FRA0N       20260101002635100000005000 0000000000002738   
0601FRA0N       20260101002640100000005000 0000000000002739   
0601FRA0N       20260101002645100000005000 0000000000002740   
0601FRA0N       20260101002650100000005000 0000000000002742   
0601FRA0N       20260101002655100000005000 0000000000002743   
0601FRA0N       20260101002660100000005000 0000000000002743   
0601FRA0N       20260101002665100000005000 0000000000002745   
